n_score,n_perf,n_matched,match_rate_score,match_rate_perf,bias_ms,sigma_ms,sigma_duple_ms,sigma_offbeat_ms,frac_nonduple,asynchrony_sigma_ms,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_duple_1,rho_duple_2,rho_duple_3,rho_duple_4,rho_duple_5,rho_duple_6,rho_duple_7,rho_duple_8,path,composer
733,739,730,0.9959072305593452,0.9878213802435724,-2.7777499999999122,14.189695500716244,14.189695500716244,15.904277792702269,0.0,8.987959731712785,0.3166523029044174,0.27135004398022256,-0.0798141888347426,0.04091225177535186,-0.11157089588054506,0.012620323379259304,-0.048360565582758995,0.0860160535417685,0.3166523029044174,0.27135004398022256,-0.0798141888347426,0.04091225177535186,-0.11157089588054506,0.012620323379259304,-0.048360565582758995,0.0860160535417685,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_854/LuA01M.mid,Bach
733,738,729,0.9945429740791268,0.9878048780487805,-3.124999999997158,13.633179171594092,13.633179171594092,15.243070372190854,0.0,5.372471815307079,0.3222570753161388,0.24449396734235648,-0.019245921230240996,0.1474201016704266,-0.006764413645488958,0.05054839417305563,-0.06773943444125205,0.045444941836522264,0.3222570753161388,0.24449396734235648,-0.019245921230240996,0.1474201016704266,-0.006764413645488958,0.05054839417305563,-0.06773943444125205,0.045444941836522264,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_854/MiyashitaM01M.mid,Bach
733,734,731,0.9972714870395635,0.9959128065395095,-1.7906666666647197,13.316232004415536,13.316232004415536,15.104063899282396,0.0,7.418406837376482,0.26852588060442323,0.21475020452783364,-0.11008884431622934,0.14292650574117854,-0.09136517249716125,0.05640481184033801,-0.09247161652784952,0.10931013128980353,0.26852588060442323,0.21475020452783364,-0.11008884431622934,0.14292650574117854,-0.09136517249716125,0.05640481184033801,-0.09247161652784952,0.10931013128980353,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_854/Ozaki01M.mid,Bach
733,738,727,0.9918144611186903,0.9850948509485095,-3.9063333333348993,19.51505887603792,19.51505887603792,22.812198736997733,0.0,11.382373300298031,0.3736491992348841,0.20030061100540889,0.0405975212393968,0.1597573351782473,0.07649640346274185,0.029879927753548866,0.032468873346396906,0.08684753845628036,0.3736491992348841,0.20030061100540889,0.0405975212393968,0.1597573351782473,0.07649640346274185,0.029879927753548866,0.032468873346396906,0.08684753845628036,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_854/Richardson01M.mid,Bach
733,736,728,0.9931787175989086,0.9891304347826086,-2.0395833333353153,14.745813003176213,14.745813003176213,17.259733161262346,0.0,7.338803900219429,0.46440786765318687,0.29745404373149226,-0.014295039385440404,0.05727306403240031,-0.03198628370781632,0.01805090903758827,-0.0564080871315271,0.0023830294903558345,0.46440786765318687,0.29745404373149226,-0.014295039385440404,0.05727306403240031,-0.03198628370781632,0.01805090903758827,-0.0564080871315271,0.0023830294903558345,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_854/WangA01M.mid,Bach
802,740,729,0.9089775561097256,0.9851351351351352,-1.388666666663596,47.29935820619152,47.05717304566088,69.90649006099491,0.002743484224965731,20.195361817097325,0.5019599944733523,0.5600950509979025,0.35438537126172814,0.32448561570154477,0.21383926667532588,0.13162938001139168,0.01796343005191512,-0.010858538514176034,0.5112297317706306,0.5764486851831652,0.3655568995556604,0.3337979734554897,0.21956241579983043,0.13808869222749942,0.021892015047663735,-0.006448142554946558,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_856/LuoJ01M.mid,Bach
1341,1400,1327,0.9895600298284862,0.9478571428571428,-9.374666666658982,35.36623955094184,32.62845381564595,33.776646419779226,0.010550113036925435,15.935076744402599,0.1682946168704574,0.014122475649297313,0.05241641325148111,0.03155192922216851,-0.07652760386305742,0.16533725095174373,0.03566382659983846,0.029704584792865276,0.22017441257703615,-0.1628826997258738,-0.07173939138722678,0.10245835347676165,-0.029799818043685512,0.040153097404312395,0.022699737659019673,0.03964875051425014,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_857/Bult-ItoS02M.mid,Bach
1341,1353,1318,0.9828486204325131,0.9741315594974131,-0.00016666666624587378,20.573887623291363,16.153781149023384,17.609417401583944,0.009104704097116834,11.364698792130016,-0.03749678263699198,0.22511098446644584,0.1395965798679012,0.19726927726208324,-0.11473160611579256,0.10420394730644658,-0.09723247652885633,-0.008472993763447947,0.03412552443545511,-0.03183306803546794,0.08936562337060575,0.20292585094645865,-0.04884597575163347,-0.010036004809870418,0.010064923277194849,0.009826110530614897,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_857/Lan01M.mid,Bach
1341,1345,1314,0.9798657718120806,0.9769516728624535,-4.55775000000358,25.360870113548874,21.43838806471277,24.859080508872072,0.006849315068493178,12.11591282616067,0.11598288974688538,0.27410266543039086,0.1299875710731277,0.20110135498727374,-0.019272042446898625,0.17966257259191637,-0.04643461330511127,0.010290307501812071,0.11542328008790514,-0.01900379499867895,0.036323752820855405,0.14957519831039556,-0.009090024888892326,0.06585482598204132,-0.005150781499170814,0.0136152195127008,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_857/Lisiecki04M.mid,Bach
1341,1361,1325,0.9880686055182699,0.973548861131521,-4.948166666665088,25.348804115812733,22.42593231650937,25.13500134612461,0.008301886792452806,10.677061431152147,0.09738783864127995,0.10892427526259049,0.16899050138779542,-0.008452105253759546,0.021074528676074344,-0.0043082162569099405,0.006434093677004532,-0.03778023573937316,0.23888880972457566,-0.05234014335545605,0.06328303101450272,0.07418019656085303,-0.11368573655731819,-0.009846935084214569,-0.02616087412801789,0.0019180627646853993,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_857/ToA01M.mid,Bach
1341,1340,1322,0.9858314690529456,0.9865671641791045,-8.029500000013456,27.880375738374944,24.491035754857553,26.657380159475316,0.008320726172465931,12.579494803744414,0.20229977762201068,0.08014162637693195,0.14521229417316964,0.08770592595010906,-0.018817455954165636,0.06778534637354251,0.08089828061624756,0.012230206973434812,0.2522988284475174,0.003696242687132996,0.0842516146761385,0.08293495218183669,-0.03562768567867043,0.1170141728921061,0.01821484925137633,0.06812631688435371,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_857/WangA01M.mid,Bach
1341,1358,1321,0.9850857568978374,0.9727540500736377,-3.1253333333438604,28.54201440187402,26.228982367767756,29.137475051202706,0.007570022710068125,13.171533536331246,0.23083475853776061,0.10301979283829682,-0.009953517245715297,-0.08109865921246327,-0.18909836735960084,0.051174968263240826,-0.033847178959013,0.013120169696176645,0.3595933288744852,-0.06126973350708157,-0.15773888691593843,-0.16856314325894986,-0.07913108951797701,0.041019065445439255,0.09070084674177037,0.044115600486721994,/sessions/zen-intelligent-bohr/mnt/Dual Diffusion 2/data/asap-dataset-master/Bach/Fugue/bwv_857/YuP01M.mid,Bach
